Date,City,Country,Venue,Opening acts,Attendance,Revenue
"April 16, 2010",Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler","27,518 / 27,518","$1,736,197"
"April 29, 2010",Lexington,United States,Rupp Arena,"Gloriana
Kellie Pickler","17,966 / 17,966","$1,024,223"
"April 30, 2010",Columbia,United States,Colonial Life Arena,"Gloriana
Kellie Pickler","13,429 / 13,429","$755,475"
"May 1, 2010",Raleigh,United States,RBC Center,"Gloriana
Kellie Pickler","13,895 / 13,895","$752,303"
"May 6, 2010",Des Moines,United States,Wells Fargo Arena,"Gloriana
Kellie Pickler","13,264 / 13,264","$738,280"
"May 7, 2010",Saint Paul,United States,Xcel Energy Center,"Gloriana
Kellie Pickler","14,914 / 14,914","$846,111"
"May 8, 2010",Moline,United States,iWireless Center,"Gloriana
Kellie Pickler","10,641 / 10,641","$610,668"
"May 12, 2010",Newark,United States,Prudential Center,"Gloriana
Kellie Pickler","26,065 / 26,065","$1,742,669"
"May 13, 2010",Newark,United States,Prudential Center,"Gloriana
Kellie Pickler","26,065 / 26,065","$1,742,669"
"May 14, 2010",Uniondale,United States,Nassau Veterans Memorial Coliseum,"Gloriana
Kellie Pickler","25,831 / 25,831","$1,713,529"
"May 15, 2010",Uniondale,United States,Nassau Veterans Memorial Coliseum,"Gloriana
Kellie Pickler","25,831 / 25,831","$1,713,529"
"May 20, 2010",Ottawa,Canada,Scotiabank Place,"Gloriana
Kellie Pickler","13,376 / 13,376","$873,206"
"May 21, 2010",Toronto,Canada,Air Canada Centre,"Gloriana
Kellie Pickler","30,458 / 30,458","$2,497,690"
"May 22, 2010",Toronto,Canada,Air Canada Centre,"Gloriana
Kellie Pickler","30,458 / 30,458","$2,497,690"
"May 25, 2010",Houston,United States,Toyota Center,"Gloriana
Kellie Pickler","23,493 / 23,493","$1,290,926"
"May 26, 2010",Houston,United States,Toyota Center,"Gloriana
Kellie Pickler","23,493 / 23,493","$1,290,926"
"May 29, 2010",Baton Rouge,United States,Tiger Stadium,—,—,—
"June 1, 2010","Washington, D.C.",United States,Verizon Center,"Gloriana
Kellie Pickler","27,290 / 27,290","$1,824,743"
"June 2, 2010","Washington, D.C.",United States,Verizon Center,"Gloriana
Kellie Pickler","27,290 / 27,290","$1,824,743"
"June 5, 2010",Foxborough,United States,Gillette Stadium,"Gloriana
Justin Bieber
Kellie Pickler","56,868 / 56,868","$3,726,157"
"June 19, 2010",Nassau,The Bahamas,Imperial Ballroom,"Gloriana
Kellie Pickler",—,—
"July 10, 2010",Cavendish,Canada,Cavendish Beach Festival Grounds,—,"35,000 / 35,000",—
